1000,-1073.56,-1074.71,-1075.36
11000,-1074.26,-1074.7,-1074.89
21000,-1074.66,-1074.71,-1074.88
31000,-1074.11,-1074.7,-1074.82
41000,-1075.01,-1074.72,-1074.82
51000,-1074.58,-1074.72,-1074.83
61000,-1074.83,-1074.75,-1074.82
71000,-1074.9,-1074.74,-1074.81
81000,-1074.81,-1074.72,-1074.8
91000,-1074.71,-1074.74,-1074.81
101000,-1074.62,-1074.74,-1074.81
111000,-1074.89,-1074.76,-1074.82
121000,-1074.73,-1074.75,-1074.82
131000,-1074.84,-1074.74,-1074.8
141000,-1074.72,-1074.73,-1074.8
151000,-1074.77,-1074.74,-1074.8
161000,-1074.75,-1074.77,-1074.83
171000,-1074.72,-1074.75,-1074.8
181000,-1074.73,-1074.77,-1074.82
191000,-1074.85,-1074.75,-1074.79
201000,-1074.68,-1074.75,-1074.8
211000,-1074.68,-1074.76,-1074.81
221000,-1074.93,-1074.76,-1074.81
231000,-1075.01,-1074.77,-1074.81
241000,-1074.66,-1074.74,-1074.79
251000,-1074.9,-1074.76,-1074.8
261000,-1074.77,-1074.76,-1074.8
271000,-1074.72,-1074.72,-1074.76
281000,-1074.96,-1074.75,-1074.79
291000,-1074.83,-1074.76,-1074.8
301000,-1074.87,-1074.75,-1074.79
311000,-1074.8,-1074.75,-1074.78
321000,-1074.62,-1074.76,-1074.79
331000,-1074.79,-1074.74,-1074.78
341000,-1074.93,-1074.76,-1074.8
351000,-1074.8,-1074.77,-1074.81
361000,-1074.83,-1074.75,-1074.79
371000,-1074.84,-1074.76,-1074.79
381000,-1074.77,-1074.76,-1074.8
391000,-1074.76,-1074.77,-1074.8
401000,-1074.7,-1074.76,-1074.8
411000,-1074.87,-1074.76,-1074.8
421000,-1074.68,-1074.76,-1074.79
431000,-1074.8,-1074.76,-1074.79
441000,-1074.97,-1074.78,-1074.81
451000,-1074.72,-1074.75,-1074.79
461000,-1074.9,-1074.76,-1074.79
471000,-1074.85,-1074.76,-1074.79
481000,-1074.77,-1074.77,-1074.8
491000,-1074.71,-1074.75,-1074.79
