1000,-1074.87,-1073.91,-1075.83
11000,-1074.96,-1074.67,-1075.25
21000,-1074.7,-1074.51,-1074.9
31000,-1074.77,-1074.58,-1074.95
41000,-1074.68,-1074.52,-1074.85
51000,-1074.78,-1074.65,-1074.91
61000,-1074.8,-1074.69,-1074.91
71000,-1074.81,-1074.69,-1074.92
81000,-1074.71,-1074.6,-1074.83
91000,-1074.8,-1074.7,-1074.9
101000,-1074.82,-1074.72,-1074.92
111000,-1074.83,-1074.73,-1074.92
121000,-1074.73,-1074.64,-1074.82
131000,-1074.7,-1074.63,-1074.78
141000,-1074.78,-1074.7,-1074.87
151000,-1074.75,-1074.68,-1074.82
161000,-1074.79,-1074.71,-1074.87
171000,-1074.77,-1074.71,-1074.83
181000,-1074.8,-1074.72,-1074.87
191000,-1074.71,-1074.64,-1074.78
201000,-1074.8,-1074.73,-1074.87
211000,-1074.79,-1074.74,-1074.85
221000,-1074.8,-1074.73,-1074.87
231000,-1074.82,-1074.76,-1074.88
241000,-1074.72,-1074.66,-1074.79
251000,-1074.79,-1074.73,-1074.85
261000,-1074.8,-1074.73,-1074.87
271000,-1074.74,-1074.68,-1074.79
281000,-1074.82,-1074.77,-1074.87
291000,-1074.75,-1074.7,-1074.81
301000,-1074.77,-1074.71,-1074.82
311000,-1074.77,-1074.72,-1074.82
321000,-1074.79,-1074.74,-1074.85
331000,-1074.74,-1074.69,-1074.79
341000,-1074.78,-1074.72,-1074.84
351000,-1074.85,-1074.8,-1074.9
361000,-1074.77,-1074.72,-1074.82
371000,-1074.73,-1074.68,-1074.78
381000,-1074.78,-1074.73,-1074.83
391000,-1074.77,-1074.72,-1074.83
401000,-1074.74,-1074.69,-1074.79
411000,-1074.82,-1074.77,-1074.87
421000,-1074.78,-1074.73,-1074.82
431000,-1074.74,-1074.69,-1074.78
441000,-1074.79,-1074.74,-1074.84
451000,-1074.78,-1074.73,-1074.83
461000,-1074.76,-1074.72,-1074.8
471000,-1074.79,-1074.75,-1074.84
481000,-1074.75,-1074.71,-1074.8
491000,-1074.77,-1074.72,-1074.82
