0,1.2425,1.05849
0.002,1.23842,1.04271
0.004,1.23436,1.0265
0.006,1.23032,1.00986
0.008,1.22628,0.992793
0.01,1.22226,0.975314
0.012,1.21826,0.957434
0.014,1.21426,0.939164
0.016,1.21028,0.920521
0.018,1.20631,0.901521
0.02,1.20236,0.882183
0.022,1.19842,0.862528
0.024,1.19449,0.842578
0.026,1.19057,0.822358
0.028,1.18667,0.801894
0.03,1.18278,0.781212
0.032,1.1789,0.760341
0.034,1.17504,0.739311
0.036,1.17118,0.718153
0.038,1.16734,0.696899
0.04,1.16352,0.675581
0.042,1.1597,0.654232
0.044,1.1559,0.632885
0.046,1.15211,0.611576
0.048,1.14833,0.590336
0.05,1.14457,0.569201
0.052,1.14082,0.548204
0.054,1.13708,0.527377
0.056,1.13335,0.506754
0.058,1.12963,0.486364
0.06,1.12593,0.46624
0.062,1.12224,0.446411
0.064,1.11856,0.426904
0.066,1.11489,0.407746
0.068,1.11124,0.388963
0.07,1.10759,0.370578
0.072,1.10396,0.352614
0.074,1.10034,0.335089
0.076,1.09674,0.318023
0.078,1.09314,0.30143
0.08,1.08956,0.285327
0.082,1.08598,0.269725
0.084,1.08242,0.254633
0.086,1.07887,0.240061
0.088,1.07534,0.226015
0.09,1.07181,0.212498
0.092,1.0683,0.199513
0.094,1.0648,0.187062
0.096,1.0613,0.175141
0.098,1.05783,0.163749
0.1,1.05436,0.152881
0.102,1.0509,0.14253
0.104,1.04746,0.13269
0.106,1.04402,0.12335
0.108,1.0406,0.114501
0.11,1.03719,0.106133
0.112,1.03379,0.0982313
0.114,1.0304,0.0907842
0.116,1.02702,0.0837775
0.118,1.02365,0.0771966
0.12,1.0203,0.0710264
0.122,1.01695,0.0652514
0.124,1.01362,0.0598556
0.126,1.01029,0.054823
0.128,1.00698,0.0501374
0.13,1.00368,0.0457823
0.132,1.00039,0.0417417
0.134,0.99711,0.0379992
0.136,0.993841,0.034539
0.138,0.990583,0.0313455
0.14,0.987336,0.0284031
0.142,0.984099,0.0256969
0.144,0.980872,0.0232123
0.146,0.977656,0.0209352
0.148,0.974451,0.0188518
0.15,0.971257,0.0169491
0.152,0.968072,0.0152144
0.154,0.964899,0.0136357
0.156,0.961735,0.0122014
0.158,0.958582,0.0109006
0.16,0.95544,0.00972305
0.162,0.952307,0.00865884
0.164,0.949185,0.00769877
0.166,0.946073,0.00683419
0.168,0.942972,0.00605696
0.17,0.93988,0.00535949
0.172,0.936799,0.00473468
0.174,0.933727,0.00417596
0.176,0.930666,0.00367721
0.178,0.927615,0.00323278
0.18,0.924574,0.00283745
0.182,0.921543,0.00248641
0.184,0.918521,0.00217524
0.186,0.91551,0.00189992
0.188,0.912509,0.00165673
0.19,0.909517,0.0014423
0.192,0.906535,0.00125357
0.194,0.903563,0.00108774
0.196,0.900601,0.0009423
0.198,0.897648,0.000814961
0.2,0.894705,0.000703668
